created_at,full_text,tweet_url,media,relevan,link,case_folding,noise_removed,non_alpha_removed,stopword_removed,clean_text
14/09/2025 14:34,Kasus keracunan MBG di Mlati Sleman ini diduga dimasak sama PT Janu Putra. Pendiri dan pemiliknya H. Singgih Januratmoko Anggota DPR RI dari Partai Golongan Karya. https://t.co/6eBuDLrsWD,https://x.com/undefined/status/1967235454744539592,media,relevan,https://x.com/undefined/status/1967235454744539592,kasus keracunan mbg di mlati sleman ini diduga dimasak sama pt janu putra. pendiri dan pemiliknya h. singgih januratmoko anggota dpr ri dari partai golongan karya. https://t.co/6ebudlrswd,kasus keracunan mbg di mlati sleman ini diduga dimasak sama pt janu putra. pendiri dan pemiliknya h. singgih januratmoko anggota dpr ri dari partai golongan karya. ,kasus keracunan mbg di mlati sleman ini diduga dimasak sama pt janu putra pendiri dan pemiliknya h singgih januratmoko anggota dpr ri dari partai golongan karya,keracunan mbg mlati sleman diduga dimasak pt janu putra pendiri pemiliknya h singgih januratmoko anggota dpr ri partai golongan karya,racun mbg mlati sleman duga masak pt janu putra diri milik h singgih januratmoko anggota dpr ri partai golong karya
14/09/2025 16:24,Program Makan Bergizi Gratis (MBG) melalui pembangunan dapur Satuan Pelayanan Pemenuhan Gizi (SPPG) terbukti memberikan dampak signifikan terhadap penciptaan lapangan kerja dengan sekitar 15.000 tenaga kerja yang telah terserap. #opinimerdeka #MakanBergiziGratis https://t.co/B7T8sPR3a5,https://x.com/undefined/status/1967263313395696053,media,relevan,https://x.com/undefined/status/1967263313395696053,program makan bergizi gratis (mbg) melalui pembangunan dapur satuan pelayanan pemenuhan gizi (sppg) terbukti memberikan dampak signifikan terhadap penciptaan lapangan kerja dengan sekitar 15.000 tenaga kerja yang telah terserap. #opinimerdeka #makanbergizigratis https://t.co/b7t8spr3a5,program makan bergizi gratis (mbg) melalui pembangunan dapur satuan pelayanan pemenuhan gizi (sppg) terbukti memberikan dampak signifikan terhadap penciptaan lapangan kerja dengan sekitar 15.000 tenaga kerja yang telah terserap.   ,program makan bergizi gratis mbg melalui pembangunan dapur satuan pelayanan pemenuhan gizi sppg terbukti memberikan dampak signifikan terhadap penciptaan lapangan kerja dengan sekitar tenaga kerja yang telah terserap,program makan bergizi gratis mbg pembangunan dapur satuan pelayanan pemenuhan gizi sppg terbukti dampak signifikan penciptaan lapangan kerja tenaga kerja terserap,program makan gizi gratis mbg bangun dapur satu layan penuh gizi sppg bukti dampak signifikan cipta lapang kerja tenaga kerja serap
14/09/2025 15:41,MALANG Program Makan Bergizi Gratis (MBG) di Kota Malang terus berkembang. Terbaru Satuan Pelayanan Pemenuhan Gizi (SPPG) Rampal Celaket resmi siap beroperasi digagas oleh Yayasan Batik Tulis Celaket. Ketua yayasan Abdul Hanan menegaskan SPPG tak hanya memenuhi kebutuhan https://t.co/nppG3asKW7,https://x.com/undefined/status/1967252443827449896,media,relevan,https://x.com/undefined/status/1967252443827449896,malang program makan bergizi gratis (mbg) di kota malang terus berkembang. terbaru satuan pelayanan pemenuhan gizi (sppg) rampal celaket resmi siap beroperasi digagas oleh yayasan batik tulis celaket. ketua yayasan abdul hanan menegaskan sppg tak hanya memenuhi kebutuhan https://t.co/nppg3askw7,malang program makan bergizi gratis (mbg) di kota malang terus berkembang. terbaru satuan pelayanan pemenuhan gizi (sppg) rampal celaket resmi siap beroperasi digagas oleh yayasan batik tulis celaket. ketua yayasan abdul hanan menegaskan sppg tak hanya memenuhi kebutuhan ,malang program makan bergizi gratis mbg di kota malang terus berkembang terbaru satuan pelayanan pemenuhan gizi sppg rampal celaket resmi siap beroperasi digagas oleh yayasan batik tulis celaket ketua yayasan abdul hanan menegaskan sppg tak hanya memenuhi kebutuhan,malang program makan bergizi gratis mbg kota malang berkembang terbaru satuan pelayanan pemenuhan gizi sppg rampal celaket resmi beroperasi digagas yayasan batik tulis celaket ketua yayasan abdul hanan sppg memenuhi kebutuhan,malang program makan gizi gratis mbg kota malang kembang baru satu layan penuh gizi sppg rampal celaket resmi operasi gagas yayasan batik tulis celaket ketua yayasan abdul hanan sppg penuh butuh
14/09/2025 12:51,Anggota DPR RI Fraksi NasDem Irma Suryani Chaniago meminta Kepala Badan Gizi Nasional (BGN) untuk hanya berfokus pada masalah yang berkutat di Program Makan Bergizi Gratis (MBG). Hal ini juga merupakan langkah preventif agar anggaran negara yang telah digelontorkan untuk program https://t.co/vPUsmVE2I8,https://x.com/undefined/status/1967209561796100351,media,relevan,https://x.com/undefined/status/1967209561796100351,anggota dpr ri fraksi nasdem irma suryani chaniago meminta kepala badan gizi nasional (bgn) untuk hanya berfokus pada masalah yang berkutat di program makan bergizi gratis (mbg). hal ini juga merupakan langkah preventif agar anggaran negara yang telah digelontorkan untuk program https://t.co/vpusmve2i8,anggota dpr ri fraksi nasdem irma suryani chaniago meminta kepala badan gizi nasional (bgn) untuk hanya berfokus pada masalah yang berkutat di program makan bergizi gratis (mbg). hal ini juga merupakan langkah preventif agar anggaran negara yang telah digelontorkan untuk program ,anggota dpr ri fraksi nasdem irma suryani chaniago meminta kepala badan gizi nasional bgn untuk hanya berfokus pada masalah yang berkutat di program makan bergizi gratis mbg hal ini juga merupakan langkah preventif agar anggaran negara yang telah digelontorkan untuk program,anggota dpr ri fraksi nasdem irma suryani chaniago kepala badan gizi nasional bgn berfokus berkutat program makan bergizi gratis mbg langkah preventif anggaran negara digelontorkan program,anggota dpr ri fraksi nasdem irma suryani chaniago kepala badan gizi nasional bgn fokus kutat program makan gizi gratis mbg langkah preventif anggar negara gelontor program
14/09/2025 16:00, Iklan propaganda dibelain keracunan mbg (dibilang persentase kecil dibelain). Pantesan disebut kndang monyet tp kata wrga tt X jg sama aja tp versi text. Klopun ada monyet yg bgini di X keknya udah dikroyok gakssi? https://t.co/HYGJwsbXQb,https://x.com/undefined/status/1967257070517825820,individual,relevan,https://x.com/undefined/status/1967257070517825820, iklan propaganda dibelain keracunan mbg (dibilang persentase kecil dibelain). pantesan disebut kndang monyet tp kata wrga tt x jg sama aja tp versi text. klopun ada monyet yg bgini di x keknya udah dikroyok gakssi? https://t.co/hygjwsbxqb, iklan propaganda dibelain keracunan mbg (dibilang persentase kecil dibelain). pantesan disebut kndang monyet tp kata wrga tt x jg sama aja tp versi text. klopun ada monyet yg bgini di x keknya udah dikroyok gakssi? ,iklan propaganda dibelain keracunan mbg dibilang persentase kecil dibelain pantesan disebut kndang monyet tp kata wrga tt x jg sama aja tp versi text klopun ada monyet yg bgini di x keknya udah dikroyok gakssi,iklan propaganda dibelain keracunan mbg dibilang persentase dibelain pantesan kndang monyet tp wrga tt x jg tp versi text klopun monyet bgini x keknya udah dikroyok gakssi,iklan propaganda bain racun mbg bilang persentase bain pantesan kndang monyet tp wrga tt x jg tp versi text klopun monyet bgini x kek udah dikroyok gakssi
14/09/2025 09:47,Tim Ahli Gizi Japan International Cooperation Agency (JICA) yang dipimpin oleh ahli gizi Mr. Ryu Nakahira meninjau secara langsung seluruh rangkaian proses penyelenggaraan MBG di SPPG Polres Tulungagung Pada Jumat 12 September 2025. https://t.co/4qH9x3jFEB,https://x.com/undefined/status/1967163316226453627,media,relevan,https://x.com/undefined/status/1967163316226453627,tim ahli gizi japan international cooperation agency (jica) yang dipimpin oleh ahli gizi mr. ryu nakahira meninjau secara langsung seluruh rangkaian proses penyelenggaraan mbg di sppg polres tulungagung pada jumat 12 september 2025. https://t.co/4qh9x3jfeb,tim ahli gizi japan international cooperation agency (jica) yang dipimpin oleh ahli gizi mr. ryu nakahira meninjau secara langsung seluruh rangkaian proses penyelenggaraan mbg di sppg polres tulungagung pada jumat 12 september 2025. ,tim ahli gizi japan international cooperation agency jica yang dipimpin oleh ahli gizi mr ryu nakahira meninjau secara langsung seluruh rangkaian proses penyelenggaraan mbg di sppg polres tulungagung pada jumat september,tim ahli gizi japan international cooperation agency jica dipimpin ahli gizi mr ryu nakahira meninjau langsung rangkaian proses penyelenggaraan mbg sppg polres tulungagung jumat september,tim ahli gizi japan international cooperation agency jica pimpin ahli gizi mr ryu nakahira tinjau langsung rangkai proses selenggara mbg sppg polres tulungagung jumat september
14/09/2025 16:00,Pengamat politik dari Forum Masyarakat Peduli Parlemen Indonesia (Formappi) Lucius Karus menilai keterlibatan anggota DPR maupun DPRD dalam proyek dapur MBG sebagai tindakan yang mencederai prinsip tata kelola pemerintahan. https://t.co/9S3X1rT3FE,https://x.com/undefined/status/1967257029439017166,media,relevan,https://x.com/undefined/status/1967257029439017166,pengamat politik dari forum masyarakat peduli parlemen indonesia (formappi) lucius karus menilai keterlibatan anggota dpr maupun dprd dalam proyek dapur mbg sebagai tindakan yang mencederai prinsip tata kelola pemerintahan. https://t.co/9s3x1rt3fe,pengamat politik dari forum masyarakat peduli parlemen indonesia (formappi) lucius karus menilai keterlibatan anggota dpr maupun dprd dalam proyek dapur mbg sebagai tindakan yang mencederai prinsip tata kelola pemerintahan. ,pengamat politik dari forum masyarakat peduli parlemen indonesia formappi lucius karus menilai keterlibatan anggota dpr maupun dprd dalam proyek dapur mbg sebagai tindakan yang mencederai prinsip tata kelola pemerintahan,pengamat politik forum masyarakat peduli parlemen indonesia formappi lucius karus menilai keterlibatan anggota dpr dprd proyek dapur mbg tindakan mencederai prinsip tata kelola pemerintahan,amat politik forum masyarakat peduli parlemen indonesia formappi lucius karus nilai libat anggota dpr dprd proyek dapur mbg tindak cedera prinsip tata kelola perintah
14/09/2025 13:16,Sebuah video pendek berisi capaian program Presiden Prabowo Subianto viral usai ditayangkan di bioskop. Video tersebut menampilkan data produksi beras keberhasilan Program Makan Bergizi Gratis hingga peluncuran Koperasi Desa Merah Putih dan Sekolah Rakyat. Publik ramai https://t.co/lzM8SuYyHo,https://x.com/undefined/status/1967215954800345442,media,relevan,https://x.com/undefined/status/1967215954800345442,sebuah video pendek berisi capaian program presiden prabowo subianto viral usai ditayangkan di bioskop. video tersebut menampilkan data produksi beras keberhasilan program makan bergizi gratis hingga peluncuran koperasi desa merah putih dan sekolah rakyat. publik ramai https://t.co/lzm8suyyho,sebuah video pendek berisi capaian program presiden prabowo subianto viral usai ditayangkan di bioskop. video tersebut menampilkan data produksi beras keberhasilan program makan bergizi gratis hingga peluncuran koperasi desa merah putih dan sekolah rakyat. publik ramai ,sebuah video pendek berisi capaian program presiden prabowo subianto viral usai ditayangkan di bioskop video tersebut menampilkan data produksi beras keberhasilan program makan bergizi gratis hingga peluncuran koperasi desa merah putih dan sekolah rakyat publik ramai,video pendek berisi capaian program presiden prabowo subianto viral ditayangkan bioskop video menampilkan data produksi beras keberhasilan program makan bergizi gratis peluncuran koperasi desa merah putih sekolah rakyat publik ramai,video pendek isi capai program presiden prabowo subianto viral tayang bioskop video tampil data produksi beras hasil program makan gizi gratis luncur koperasi desa merah putih sekolah rakyat publik ramai
14/09/2025 18:00,Ayun yung tax natin o https://t.co/SE3cWqvPBO,https://x.com/undefined/status/1967287304009269275,individual,not relevan,https://x.com/undefined/status/1967287304009269275,ayun yung tax natin o https://t.co/se3cwqvpbo,ayun yung tax natin o ,ayun yung tax natin o,ayun yung tax natin o,ayun yung tax natin o
14/09/2025 23:25,Sejumlah dapur MBG yang ada dikeloa oleh Anggota Dewan. Bagaimana menurut sobat pembaruan ? https://t.co/xiK4HRgQyT,https://x.com/undefined/status/1967369170909339798,media,relevan,https://x.com/undefined/status/1967369170909339798,sejumlah dapur mbg yang ada dikeloa oleh anggota dewan. bagaimana menurut sobat pembaruan ? https://t.co/xik4hrgqyt,sejumlah dapur mbg yang ada dikeloa oleh anggota dewan. bagaimana menurut sobat pembaruan ? ,sejumlah dapur mbg yang ada dikeloa oleh anggota dewan bagaimana menurut sobat pembaruan,dapur mbg dikeloa anggota dewan sobat pembaruan,dapur mbg dikeloa anggota dewan sobat baru
