time_slot;ngram;n;df_idft
2025-08-09; ;1;1.0
2025-08-09;g;1;1.0
2025-08-09;h;1;0.7697841726618705
2025-08-09;u;1;0.8561151079136691
2025-08-09;n;1;1.0
2025-08-09;t;1;0.9928057553956835
2025-08-09;m;1;1.0
2025-08-09;k;1;1.0
2025-08-09;r;1;1.0
2025-08-09;p;1;0.9640287769784173
2025-08-09;s;1;0.9928057553956835
2025-08-09;z;1;0.9568345323741008
2025-08-09;i;1;1.0
2025-08-09;a;1;1.0
2025-08-09;e;1;0.9568345323741008
2025-08-09;l;1;0.7410071942446043
2025-08-09;o;1;0.8705035971223022
2025-08-09;y;1;0.23741007194244604
2025-08-09;j;1;0.2805755395683453
2025-08-09;b;1;0.9928057553956835
2025-08-09;c;1;0.5179856115107914
2025-08-09;d;1;0.5683453237410072
2025-08-09;w;1;0.7122302158273381
2025-08-09;x;1;0.007194244604316547
2025-08-09;v;1;0.02158273381294964
2025-08-09;f;1;0.03597122302158273
2025-11-09; ;1;1.0
2025-11-09;g;1;1.0
2025-11-09;h;1;0.6834532374100719
2025-11-09;u;1;0.8633093525179856
2025-11-09;n;1;0.9568345323741008
2025-11-09;m;1;1.0
2025-11-09;d;1;0.7266187050359713
2025-11-09;k;1;0.9424460431654677
2025-11-09;r;1;0.9136690647482014
2025-11-09;p;1;0.8489208633093526
2025-11-09;w;1;0.3669064748201439
2025-11-09;s;1;0.920863309352518
2025-11-09;z;1;0.45323741007194246
2025-11-09;i;1;0.9280575539568345
2025-11-09;a;1;0.9856115107913669
2025-11-09;e;1;0.8561151079136691
2025-11-09;l;1;0.7338129496402878
2025-11-09;o;1;0.8273381294964028
2025-11-09;f;1;0.2158273381294964
2025-11-09;j;1;0.4316546762589928
2025-11-09;t;1;0.935251798561151
2025-11-09;b;1;0.8992805755395683
2025-11-09;c;1;0.4028776978417266
2025-11-09;y;1;0.37410071942446044
2025-11-09;v;1;0.10071942446043165
2025-11-09;x;1;0.007194244604316547
2025-11-09;q;1;0.007194244604316547
2025-08-09;s e;2;0.3669064748201439
2025-08-09;n t;2;0.26618705035971224
2025-08-09;o m;2;0.07194244604316546
2025-08-09;b u;2;0.34532374100719426
2025-08-09;s  ;2;0.9712230215827338
2025-08-09;l a;2;0.5683453237410072
2025-08-09;r i;2;0.26618705035971224
2025-08-09;a t;2;0.9856115107913669
2025-08-09;m i;2;0.1223021582733813
2025-08-09;a k;2;0.9856115107913669
2025-08-09;b g;2;0.9280575539568345
2025-08-09;u t;2;0.050359712230215826
2025-08-09;t i;2;0.9856115107913669
2025-08-09;h  ;2;0.4244604316546763
2025-08-09;m  ;2;0.2158273381294964
2025-08-09;a s;2;0.762589928057554
2025-08-09;i s;2;0.9856115107913669
2025-08-09;  k;2;0.8705035971223022
2025-08-09;t e;2;0.09352517985611511
2025-08-09;  g;2;0.9856115107913669
2025-08-09;k o;2;0.2158273381294964
2025-08-09;o g;2;0.1510791366906475
2025-08-09;g i;2;0.9640287769784173
2025-08-09;r o;2;0.2949640287769784
2025-08-09;i  ;2;0.9856115107913669
2025-08-09;u h;2;0.1079136690647482
2025-08-09;t h;2;0.007194244604316547
2025-08-09;j a;2;0.26618705035971224
2025-08-09;p a;2;0.6115107913669064
2025-08-09;i n;2;0.3597122302158273
2025-08-09;  t;2;0.4748201438848921
2025-08-09;k a;2;0.9928057553956835
2025-08-09;a h;2;0.3237410071942446
2025-08-09;a n;2;0.9928057553956835
2025-08-09;z i;2;0.9568345323741008
2025-08-09;e h;2;0.050359712230215826
2025-08-09;  h;2;0.5683453237410072
2025-08-09;e n;2;0.2805755395683453
2025-08-09;i z;2;0.9568345323741008
