ngram;time_slot;df;df_prev;idft;boost;df_idft;is_entity;entity_type
gratis smkn;2025-08-09 10:00;1;0;4.526361;1.0;4.526361;False;
langsung program;2025-08-09 10:00;1;0;4.526361;1.0;4.526361;False;
nutrisi penuh;2025-08-09 10:00;1;0;4.526361;1.0;4.526361;False;
semangat ajar;2025-08-09 10:00;1;0;4.526361;1.0;4.526361;False;
penuh semangat;2025-08-09 10:00;1;0;4.526361;1.0;4.526361;False;
ajar kuat;2025-08-09 10:00;1;0;4.526361;1.0;4.526361;False;
bondowoso nutrisi;2025-08-09 10:00;1;0;4.526361;1.0;4.526361;False;
mbg makan;2025-08-09 10:00;1;0;4.526361;1.0;4.526361;False;
program mbg;2025-08-09 10:00;1;0;4.526361;1.0;4.526361;False;
gizi gratis;2025-08-09 10:00;1;0;4.526361;1.0;4.526361;False;
makan gizi;2025-08-09 10:00;1;0;4.526361;1.0;4.526361;False;
smkn bondowoso;2025-08-09 10:00;1;0;4.526361;1.0;4.526361;False;
hadir makan;2025-08-09 11:00;2;0;4.526361;1.0;9.052721;False;
transparan awas;2025-08-09 11:00;1;0;4.526361;1.0;4.526361;False;
serius hadir;2025-08-09 11:00;1;0;4.526361;1.0;4.526361;False;
langsung bpkp;2025-08-09 11:00;1;0;4.526361;1.5;6.789541;True;ORG
bpkp kpk;2025-08-09 11:00;4;0;4.526361;1.5;27.158163;True;ORG
at cost;2025-08-09 11:00;4;0;4.526361;1.0;18.105442;False;
awas langsung;2025-08-09 11:00;1;0;4.526361;1.0;4.526361;False;
perintah serius;2025-08-09 11:00;1;0;4.526361;1.0;4.526361;False;
cost transparan;2025-08-09 11:00;1;0;4.526361;1.0;4.526361;False;
gizi gratis;2025-08-09 11:00;11;1;3.833213;1.0;42.165347;False;
gratis mbg;2025-08-09 11:00;6;0;4.526361;1.0;27.158163;False;
makan gizi;2025-08-09 11:00;11;1;3.833213;1.0;42.165347;False;
mbg proses;2025-08-09 11:00;1;0;4.526361;1.0;4.526361;False;
proses at;2025-08-09 11:00;1;0;4.526361;1.0;4.526361;False;
indonesia mbg;2025-08-09 11:00;1;0;4.526361;1.5;6.789541;True;LOC
anak indonesia;2025-08-09 11:00;1;0;4.526361;1.5;6.789541;True;LOC
sesuai pasar;2025-08-09 11:00;1;0;4.526361;1.0;4.526361;False;
buka awas;2025-08-09 11:00;1;0;4.526361;1.0;4.526361;False;
kelola buka;2025-08-09 11:00;2;0;4.526361;1.0;9.052721;False;
anak anak;2025-08-09 11:00;1;0;4.526361;1.0;4.526361;False;
amp kpk;2025-08-09 11:00;1;0;4.526361;1.5;6.789541;True;ORG
anggar kelola;2025-08-09 11:00;2;0;4.526361;1.0;9.052721;False;
mark up;2025-08-09 11:00;2;0;4.526361;1.0;9.052721;False;
bpkp amp;2025-08-09 11:00;1;0;4.526361;1.5;6.789541;True;ORG
kpk harga;2025-08-09 11:00;1;0;4.526361;1.5;6.789541;True;ORG
harga sesuai;2025-08-09 11:00;1;0;4.526361;1.0;4.526361;False;
awas bpkp;2025-08-09 11:00;2;0;4.526361;1.5;13.579082;True;ORG
pasar no;2025-08-09 11:00;1;0;4.526361;1.0;4.526361;False;
mbg hadir;2025-08-09 11:00;2;0;4.526361;1.0;9.052721;False;
no mark;2025-08-09 11:00;1;0;4.526361;1.0;4.526361;False;
gratis anggar;2025-08-09 11:00;2;0;4.526361;1.0;9.052721;False;
workshop deep;2025-08-09 11:00;1;0;4.526361;1.0;4.526361;False;
bojonegoro amanulloh;2025-08-09 11:00;1;0;4.526361;1.0;4.526361;False;
tinjau asrama;2025-08-09 11:00;1;0;4.526361;1.0;4.526361;False;
madrasah kepala;2025-08-09 11:00;1;0;4.526361;1.0;4.526361;False;
rombong tinjau;2025-08-09 11:00;1;0;4.526361;1.0;4.526361;False;
didik madrasah;2025-08-09 11:00;1;0;4.526361;1.0;4.526361;False;
program makan;2025-08-09 11:00;2;0;4.526361;1.0;9.052721;False;
buka acara;2025-08-09 11:00;1;0;4.526361;1.0;4.526361;False;
senin buka;2025-08-09 11:00;1;0;4.526361;1.0;4.526361;False;
kepala kemenag;2025-08-09 11:00;1;0;4.526361;1.0;4.526361;False;
acara rombong;2025-08-09 11:00;1;0;4.526361;1.0;4.526361;False;
asrama santri;2025-08-09 11:00;1;0;4.526361;1.0;4.526361;False;
mtsn bojonegoro;2025-08-09 11:00;1;0;4.526361;1.0;4.526361;False;
kece program;2025-08-09 11:00;1;0;4.526361;1.0;4.526361;False;
bojonegoro senin;2025-08-09 11:00;1;0;4.526361;1.0;4.526361;False;
buka workshop;2025-08-09 11:00;1;0;4.526361;1.0;4.526361;False;
learning mtsn;2025-08-09 11:00;1;0;4.526361;1.0;4.526361;False;
amanulloh buka;2025-08-09 11:00;1;0;4.526361;1.0;4.526361;False;
kualitas didik;2025-08-09 11:00;1;0;4.526361;1.0;4.526361;False;
deep learning;2025-08-09 11:00;1;0;4.526361;1.0;4.526361;False;
santri kece;2025-08-09 11:00;1;0;4.526361;1.0;4.526361;False;
