ngram;time_slot;df;idft;df_idft
butuh gizi jamin;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
tegas komitmen program;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
perintah tegas komitmen;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
penuh butuh gizi;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
aman sehat halal;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
sehat halal thayyib;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
program makan gizi;2025-08-09 13:00;5;0.3610133455373305;1.8050667276866526
gizi jamin pangan;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
makan gizi gratis;2025-08-09 13:00;37;0.06252035698133393;2.3132532083093555
mbg penuh butuh;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
pangan aman sehat;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
komitmen program makan;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
gizi gratis mbg;2025-08-09 13:00;11;0.7884573603642703;8.673030964006973
gratis mbg penuh;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
jamin pangan aman;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
nyata perintah serius;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
transparan mark up;2025-08-09 13:00;1;2.3978952727983707;2.3978952727983707
mbg bukti nyata;2025-08-09 13:00;2;2.803360380906535;5.60672076181307
gratis mbg bukti;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
kelola transparan mark;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
bukti nyata perintah;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
mark up anti;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
up anti korupsi;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
serius hadir kelola;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
perintah serius hadir;2025-08-09 13:00;1;2.3978952727983707;2.3978952727983707
hadir kelola transparan;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
gratis bersih kelola;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
gizi gratis bersih;2025-08-09 13:00;3;2.1102132003465894;6.330639601039769
anak bangsa makan;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
bangsa makan gizi;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
kelola dana buka;2025-08-09 13:00;1;2.3978952727983707;2.3978952727983707
harga at cost;2025-08-09 13:00;10;1.7047480922384253;17.047480922384253
buka harga at;2025-08-09 13:00;2;2.1102132003465894;4.220426400693179
cost awas ketat;2025-08-09 13:00;2;2.3978952727983707;4.795790545596741
dana buka harga;2025-08-09 13:00;1;2.3978952727983707;2.3978952727983707
at cost awas;2025-08-09 13:00;6;2.1102132003465894;12.661279202079537
bersih kelola dana;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
mbg anak bangsa;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
gratis aman kelola;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
komitmen makan gizi;2025-08-09 13:00;1;2.3978952727983707;2.3978952727983707
gizi gratis aman;2025-08-09 13:00;1;2.1102132003465894;2.1102132003465894
dana transparan at;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
cost awas lembaga;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
aman kelola dana;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
kelola dana transparan;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
transparan at cost;2025-08-09 13:00;3;2.3978952727983707;7.193685818395112
awas lembaga independen;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
mbg komitmen makan;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
berkat mbg anggar;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
harga pasar transparan;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
awas bpkp amp;2025-08-09 13:00;3;1.8870696490323797;5.661208947097139
kelola sesuai harga;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
kppn awas bpkp;2025-08-09 13:00;3;1.8870696490323797;5.661208947097139
sesuai harga pasar;2025-08-09 13:00;2;1.7047480922384253;3.4094961844768505
mbg anggar kelola;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
gratis berkat mbg;2025-08-09 13:00;2;2.803360380906535;5.60672076181307
pasar transparan kppn;2025-08-09 13:00;1;2.803360380906535;2.803360380906535
bpkp amp kpk;2025-08-09 13:00;4;1.8870696490323797;7.548278596129519
transparan kppn awas;2025-08-09 13:00;4;2.3978952727983707;9.591581091193483
