id,dataset,headline,keywords
1,1,"Program Makan Bergizi Gratis Jadi “Raksasa Anggaran”","makan, bergizi, gratis, program, anggaran"
2,1,"Makan Bergizi Gratis Habiskan Rp 13,2 T, Serap Tenaga Kerja 290 Ribu Orang","makan, bergizi, gratis, anggaran, tenaga kerja, serapan"
3,1,"Usul Purbaya Soal Serapan Anggaran Makan Bergizi Gratis Rendah","anggaran, serapan, makan, bergizi, gratis"
4,1,"Anggaran buat Makan Bergizi Gratis Rp 1,2 Triliun/Hari","makan, bergizi, gratis, makan bergizi gratis, harga , anggaran, rp 1,2 triliun, per hari, transparan , belanja negara, biaya program, program pemerintah, program nasional, badan gizi, bgn, kebijakan fiskal, isu anggaran, gizi masyarakat"
5,1,"1 Kecamatan di Sulut Tolak MBG Imbas Isu Food Tray Kandung Minyak Babi","makan, bergizi, gratis, makan bergizi gratis, mbg, penolakan, warga, sulut, sulawesi utara, kecamatan, isu halal, minyak babi, food tray, wadah makan, kontroversi, badan gizi, bgn, kebijakan pemerintah, reaksi masyarakat"
6,1,"Badan Gizi Dapat Anggaran Rp268 T di 2026, Ini Rinciannya","makan, bergizi, gratis, makan bergizi gratis, kelola, badan gizi, bgn, anggaran, rp 268 triliun, anggaran 2026, belanja negara, program nasional, kebijakan pemerintah, gizi masyarakat, lembaga negara, rincian anggaran"
7,1,"MUI Minta Program MBG Dihentikan Jika Ompreng Terbukti Tak Halal","makan, bergizi, gratis, makan bergizi gratis, mbg, mui, ompreng, wadah makan, isu halal, tidak halal, minyak babi, fatwa mui, kontroversi, kebijakan pemerintah, badan gizi, bgn, penghentian program"
8,1,"Wadah Makan Program MBG Impor dari China dan Mengandung Minyak Babi, Ini Penjelasan BGN","makan, bergizi, gratis, makan bergizi gratis, mbg, wadah makan, impor china, minyak babi, isu halal, food tray, badan gizi, bgn, klarifikasi, kontroversi, kebijakan pengadaan, program nasional"
9,1,"Makan Bergizi Gratis Boleh Tak Halal, Ini Syaratnya","makan, bergizi, gratis, makan bergizi gratis, mbg, halal, tidak halal, syarat halal, regulasi, kebijakan pemerintah, mui, badan gizi, bgn, kontroversi, standar kehalalan"
10,1,"Blak-blakan Bos Badan Gizi soal Alasan Nampan MBG Diimpor dari China","makan, bergizi, gratis, makan bergizi gratis, mbg, badan gizi, bgn, bos badan gizi, nampan, impor china, wadah makan, klarifikasi, kebijakan pengadaan, kontroversi, program nasional"

