ngram,time_slot,df,sum_df_prev,trend_score,boost,is_entity,entity_type
makan gizi,2025-08-09 11:00,11,1,11.846412,1.0,False,NON-ENT
gizi,2025-08-09 11:00,11,1,11.846412,1.0,False,NON-ENT
gratis,2025-08-09 11:00,11,1,11.846412,1.0,False,NON-ENT
makan,2025-08-09 11:00,11,1,11.846412,1.0,False,NON-ENT
makan gizi gratis,2025-08-09 11:00,11,1,11.846412,1.0,False,NON-ENT
makan gizi,2025-08-09 12:00,10,12,9.694204,1.0,False,NON-ENT
gizi,2025-08-09 12:00,10,12,9.694204,1.0,False,NON-ENT
gratis,2025-08-09 12:00,10,12,9.694204,1.0,False,NON-ENT
makan,2025-08-09 12:00,10,12,9.694204,1.0,False,NON-ENT
makan gizi gratis,2025-08-09 12:00,10,12,9.694204,1.0,False,NON-ENT
makan gizi,2025-08-09 13:00,37,22,31.100412,1.0,False,NON-ENT
gizi,2025-08-09 13:00,37,22,31.100412,1.0,False,NON-ENT
gratis,2025-08-09 13:00,37,22,31.100412,1.0,False,NON-ENT
makan,2025-08-09 13:00,37,22,31.100412,1.0,False,NON-ENT
makan gizi gratis,2025-08-09 13:00,37,22,31.100412,1.0,False,NON-ENT
makan,2025-08-09 14:00,52,59,36.67125,1.0,False,NON-ENT
gratis,2025-08-09 14:00,52,59,36.67125,1.0,False,NON-ENT
mbg,2025-08-09 14:00,50,55,35.76516,1.0,False,NON-ENT
makan gizi,2025-08-09 14:00,50,59,35.287429,1.0,False,NON-ENT
gizi,2025-08-09 14:00,50,59,35.287429,1.0,False,NON-ENT
mbg,2025-08-09 15:00,15,105,9.868227,1.0,False,NON-ENT
makan gizi,2025-08-09 15:00,15,109,9.793274,1.0,False,NON-ENT
gizi,2025-08-09 15:00,15,109,9.793274,1.0,False,NON-ENT
makan gizi gratis,2025-08-09 15:00,15,109,9.793274,1.0,False,NON-ENT
gizi gratis,2025-08-09 15:00,15,109,9.793274,1.0,False,NON-ENT
mbg,2025-08-09 16:00,4,120,3.000881,1.0,False,NON-ENT
gratis mbg,2025-08-09 16:00,3,40,2.9744,1.0,False,NON-ENT
gizi gratis mbg,2025-08-09 16:00,3,40,2.9744,1.0,False,NON-ENT
harga,2025-08-09 16:00,3,51,2.845425,1.0,False,NON-ENT
awas,2025-08-09 16:00,3,78,2.619843,1.0,False,NON-ENT
program makan,2025-11-09 04:00,3,15,3.440188,1.0,False,NON-ENT
program makan gizi,2025-11-09 04:00,3,15,3.440188,1.0,False,NON-ENT
program,2025-11-09 04:00,3,22,3.273728,1.0,False,NON-ENT
gizi gratis,2025-11-09 04:00,3,134,2.347139,1.0,False,NON-ENT
makan gizi gratis,2025-11-09 04:00,3,134,2.347139,1.0,False,NON-ENT
gizi gratis,2025-11-09 05:00,3,137,2.336537,1.0,False,NON-ENT
makan gizi gratis,2025-11-09 05:00,3,137,2.336537,1.0,False,NON-ENT
gizi,2025-11-09 05:00,3,137,2.336537,1.0,False,NON-ENT
makan gizi,2025-11-09 05:00,3,137,2.336537,1.0,False,NON-ENT
makan,2025-11-09 05:00,3,139,2.329625,1.0,False,NON-ENT
program,2025-11-09 06:00,3,26,3.194026,1.0,False,NON-ENT
mbg,2025-11-09 06:00,3,131,2.358032,1.0,False,NON-ENT
makan gizi,2025-11-09 07:00,9,141,5.807082,1.0,False,NON-ENT
gizi,2025-11-09 07:00,9,141,5.807082,1.0,False,NON-ENT
makan gizi gratis,2025-11-09 07:00,9,141,5.807082,1.0,False,NON-ENT
gizi gratis,2025-11-09 07:00,9,141,5.807082,1.0,False,NON-ENT
gratis,2025-11-09 07:00,9,143,5.790392,1.0,False,NON-ENT
mbg,2025-11-09 08:00,6,135,4.101253,1.0,False,NON-ENT
anak,2025-11-09 08:00,3,22,3.273728,1.0,False,NON-ENT
makan,2025-11-09 08:00,3,152,2.287469,1.0,False,NON-ENT
program,2025-11-09 09:00,5,35,4.566228,1.0,False,NON-ENT
makan gizi gratis,2025-11-09 09:00,6,152,4.00307,1.0,False,NON-ENT
gizi gratis,2025-11-09 09:00,6,152,4.00307,1.0,False,NON-ENT
gizi,2025-11-09 09:00,6,152,4.00307,1.0,False,NON-ENT
makan gizi,2025-11-09 09:00,6,152,4.00307,1.0,False,NON-ENT
mbg,2025-11-09 10:00,14,146,8.648828,1.0,False,NON-ENT
program,2025-11-09 10:00,9,40,7.436001,1.0,False,NON-ENT
gizi,2025-11-09 10:00,11,158,6.808436,1.0,False,NON-ENT
program makan,2025-11-09 10:00,7,28,6.315045,1.0,False,NON-ENT
program makan gizi,2025-11-09 10:00,7,28,6.315045,1.0,False,NON-ENT
indonesia,2025-11-09 11:00,3,12,5.287748,1.5,True,LOCATION
mbg,2025-11-09 11:00,8,160,5.093254,1.0,False,NON-ENT
anak,2025-11-09 11:00,4,30,3.903729,1.0,False,NON-ENT
sehat,2025-11-09 11:00,3,13,3.495758,1.0,False,NON-ENT
program makan,2025-11-09 11:00,3,35,3.044152,1.0,False,NON-ENT
mbg,2025-11-09 12:00,15,168,8.965182,1.0,False,NON-ENT
racun,2025-11-09 12:00,4,5,4.711338,1.0,False,NON-ENT
racun mbg,2025-11-09 12:00,3,1,3.948804,1.0,False,NON-ENT
anak,2025-11-09 12:00,4,34,3.823914,1.0,False,NON-ENT
orang,2025-11-09 12:00,3,8,3.655405,1.0,False,NON-ENT
mbg,2025-11-09 13:00,13,183,7.709507,1.0,False,NON-ENT
didik,2025-11-09 13:00,3,4,3.810657,1.0,False,NON-ENT
