time_slot;cluster_id;topic_core;ngrams;max_dfidf
2025-08-09 11:00;0;g;  g r,   g i, g i z, g;1.0
2025-08-09 11:00;1;u;u;1.0
2025-08-09 11:00;2;r;r;1.0
2025-08-09 11:00;3;i;i z i, i s  ;1.0
2025-08-09 11:00;4;z;z i  ;1.0
2025-08-09 11:00;5;t;t i s;1.0
2025-08-09 10:00;6;a;a;1.0
2025-08-09 10:00;7;o;o;1.0
2025-08-09 10:00;8;m;m;1.0
2025-08-09 10:00;9;h;h;1.0
2025-08-09 10:00;10;g;g;1.0
2025-08-09 10:00;11;j;j;1.0
2025-08-09 10:00;12;u;u;1.0
2025-08-09 10:00;13;r;r;1.0
2025-08-09 10:00;14;d;d;1.0
2025-08-09 17:00;15;k;k a n;1.0
2025-08-09 17:00;16;b;b g  ;1.0
2025-08-09 17:00;17;a;a h  , a t i;1.0
2025-08-09 17:00;18;m;  m a, m b g;1.0
2025-08-09 17:00;19;s;s   a;1.0
2025-08-09 17:00;20;z;z i  ;1.0
2025-08-09 17:00;21;t;t i s;1.0
2025-08-09 17:00;22;i;i z i;1.0
2025-08-09 12:00;23;t;t;1.0
2025-08-09 12:00;24;z;z;1.0
2025-08-09 12:00;25;s;s;1.0
2025-08-09 12:00;26;i;i;1.0
2025-08-09 12:00;27;p;p;1.0
2025-08-09 12:00;28;b;b;1.0
2025-08-09 12:00;29;g;g;1.0
2025-08-09 12:00;30;r;r;1.0
2025-08-09 12:00;31;n;n;1.0
2025-08-09 14:00;32;a;a;1.0
2025-08-09 14:00;33;k;k;1.0
2025-08-09 14:00;34;r;r;1.0
2025-08-09 14:00;35;b;b;1.0
2025-08-09 14:00;36;g;g;1.0
2025-08-09 14:00;37;i;i;1.0
2025-08-09 14:00;38;n;n;1.0
2025-08-09 14:00;39;m;m;1.0
2025-08-09 14:00;40;s;s;1.0
2025-08-09 13:00;41;b;b;1.0
2025-08-09 13:00;42;g;g;1.0
2025-08-09 13:00;43;r;r;1.0
2025-08-09 13:00;44;n;n;1.0
2025-08-09 13:00;45;m;m;1.0
2025-08-09 13:00;46;a;a;1.0
2025-08-09 13:00;47;k;k;1.0
2025-08-09 13:00;48;t;t;1.0
2025-08-09 13:00;49;s;s;1.0
2025-08-09 18:00;50;m;  m a;1.0
2025-08-09 18:00;51;r;r a t;1.0
2025-08-09 18:00;52;n;n   g;1.0
2025-08-09 18:00;53;z;z i  ;1.0
2025-08-09 18:00;54;t;t i s;1.0
2025-08-09 18:00;55;a;a t i, a   m, a n  ;1.0
2025-08-09 18:00;56;i;i z i;1.0
2025-08-09 18:00;57;g;  g i;1.0
2025-08-09 15:00;58;b;b;1.0
2025-08-09 15:00;59;g;g;1.0
2025-08-09 15:00;60;r;r;1.0
2025-08-09 15:00;61;n;n;1.0
2025-08-09 15:00;62;m;m;1.0
2025-08-09 15:00;63;a;a;1.0
2025-08-09 15:00;64;k;k;1.0
2025-08-09 15:00;65;t;t;1.0
2025-08-09 15:00;66;z;z;1.0
2025-11-09 13:00;67;g;g  , g;1.0
2025-11-09 13:00;68;m;m b,   m, m;1.0
2025-11-09 13:00;69;t;t;1.0
2025-11-09 13:00;70;s;s;1.0
2025-11-09 13:00;71;k;k;0.9375
2025-11-09 13:00;72;n;n;0.9375
2025-08-09 16:00;73;r;r;1.0
2025-08-09 16:00;74;m;m;1.0
