time_slot;topic_id;topic_terms;max_dfidf;term_count
2025-08-09 10:00;2025-08-09 10:00_T1;mbg;1.0;1
2025-08-09 10:00;2025-08-09 10:00_T2;langsung;1.0;1
2025-08-09 10:00;2025-08-09 10:00_T3;smkn, smkn bondowoso nutrisi;1.0;2
2025-08-09 10:00;2025-08-09 10:00_T4;gizi gratis smkn;1.0;1
2025-08-09 10:00;2025-08-09 10:00_T5;gratis smkn bondowoso;1.0;1
2025-08-09 10:00;2025-08-09 10:00_T6;program mbg makan;1.0;1
2025-08-09 10:00;2025-08-09 10:00_T7;penuh semangat ajar;1.0;1
2025-08-09 10:00;2025-08-09 10:00_T8;semangat ajar kuat;1.0;1
2025-08-09 10:00;2025-08-09 10:00_T9;nutrisi penuh semangat;1.0;1
2025-11-09 23:00;2025-11-09 23:00_T1;makan gizi gratis, makan gizi, makan;1.0;3
2025-11-09 23:00;2025-11-09 23:00_T2;gizi gratis, gizi;1.0;2
2025-11-09 23:00;2025-11-09 23:00_T3;gratis;1.0;1
2025-11-09 23:00;2025-11-09 23:00_T4;program makan, program;0.6666666666666666;2
2025-11-09 23:00;2025-11-09 23:00_T5;anak anak, anak;0.6666666666666666;2
2025-08-09 11:00;2025-08-09 11:00_T1;gratis, gratis mbg;1.0;2
2025-08-09 11:00;2025-08-09 11:00_T2;gizi, gizi gratis, gizi gratis mbg;1.0;3
2025-08-09 11:00;2025-08-09 11:00_T3;makan, makan gizi gratis, makan gizi;1.0;3
2025-08-09 11:00;2025-08-09 11:00_T4;mbg;0.9090909090909091;1
2025-08-09 11:00;2025-08-09 11:00_T5;awas;0.5454545454545454;1
2025-11-09 21:00;2025-11-09 21:00_T1;makan gizi gratis, makan gizi;1.0;2
2025-11-09 21:00;2025-11-09 21:00_T2;kepala bpjh sertifikasi, kepala bpjh;1.0;2
2025-11-09 21:00;2025-11-09 21:00_T3;program makan gizi, program makan;1.0;2
2025-11-09 21:00;2025-11-09 21:00_T4;sertifikasi halal;1.0;1
2025-11-09 21:00;2025-11-09 21:00_T5;wajib program;1.0;1
2025-11-09 21:00;2025-11-09 21:00_T6;bpjh sertifikasi;1.0;1
2025-11-09 21:00;2025-11-09 21:00_T7;gizi gratis;1.0;1
2025-08-09 17:00;2025-08-09 17:00_T1;anak;1.0;1
2025-08-09 17:00;2025-08-09 17:00_T2;makan, makan gizi gratis, makan gizi;1.0;3
2025-08-09 17:00;2025-08-09 17:00_T3;gizi, gizi gratis;1.0;2
2025-08-09 17:00;2025-08-09 17:00_T4;gratis;1.0;1
2025-08-09 17:00;2025-08-09 17:00_T5;mbg;1.0;1
2025-08-09 17:00;2025-08-09 17:00_T6;aman anak;0.5;1
2025-08-09 17:00;2025-08-09 17:00_T7;hadir;0.5;1
2025-11-09 20:00;2025-11-09 20:00_T1;tambah belanja konsumtif;1.0;1
2025-11-09 20:00;2025-11-09 20:00_T2;program mbg makan;1.0;1
2025-11-09 20:00;2025-11-09 20:00_T3;mbg program populis, mbg tambah belanja, mbg makan gizi;1.0;3
2025-11-09 20:00;2025-11-09 20:00_T4;tiada mbg program;1.0;1
2025-11-09 20:00;2025-11-09 20:00_T5;wajib tiada mbg;1.0;1
2025-11-09 20:00;2025-11-09 20:00_T6;makan gizi gratis;1.0;1
2025-11-09 20:00;2025-11-09 20:00_T7;apbn program mbg, apbn mbg tambah;1.0;2
2025-08-09 18:00;2025-08-09 18:00_T1;makan, makan gizi gratis, makan gizi;1.0;3
2025-08-09 18:00;2025-08-09 18:00_T2;gizi, gizi gratis;1.0;2
2025-08-09 18:00;2025-08-09 18:00_T3;gratis, gratis rp;1.0;2
2025-08-09 18:00;2025-08-09 18:00_T4;up;0.5;1
2025-08-09 18:00;2025-08-09 18:00_T5;biar;0.5;1
2025-08-09 18:00;2025-08-09 18:00_T6;awas;0.5;1
2025-08-09 19:00;2025-08-09 19:00_T1;mbg;1.0;1
2025-08-09 19:00;2025-08-09 19:00_T2;kisah;1.0;1
2025-08-09 19:00;2025-08-09 19:00_T3;anggota;1.0;1
2025-08-09 19:00;2025-08-09 19:00_T4;kabinet;1.0;1
2025-08-09 19:00;2025-08-09 19:00_T5;pagi;1.0;1
2025-08-09 19:00;2025-08-09 19:00_T6;orang;1.0;1
2025-08-09 19:00;2025-08-09 19:00_T7;bikin;1.0;1
2025-08-09 19:00;2025-08-09 19:00_T8;senin;1.0;1
2025-08-09 19:00;2025-08-09 19:00_T9;fiksi;1.0;1
2025-08-09 19:00;2025-08-09 19:00_T10;dasar;1.0;1
2025-08-09 22:00;2025-08-09 22:00_T1;krusial, krusial program makan;1.0;2
2025-08-09 22:00;2025-08-09 22:00_T2;umkm;1.0;1
2025-08-09 22:00;2025-08-09 22:00_T3;makan;1.0;1
2025-08-09 22:00;2025-08-09 22:00_T4;gizi;1.0;1
2025-08-09 22:00;2025-08-09 22:00_T5;program, program makan gizi;1.0;2
2025-08-09 22:00;2025-08-09 22:00_T6;peran, peran krusial program;1.0;2
2025-08-09 22:00;2025-08-09 22:00_T7;gratis;1.0;1
2025-08-09 23:00;2025-08-09 23:00_T1;sinjai;1.0;1
2025-08-09 23:00;2025-08-09 23:00_T2;sehat;1.0;1
2025-08-09 23:00;2025-08-09 23:00_T3;rangka;1.0;1
2025-08-09 23:00;2025-08-09 23:00_T4;gratis;1.0;1
2025-08-09 23:00;2025-08-09 23:00_T5;komunikasi;1.0;1
2025-08-09 23:00;2025-08-09 23:00_T6;sosial;1.0;1
2025-08-09 23:00;2025-08-09 23:00_T7;desa;1.0;1
2025-08-09 23:00;2025-08-09 23:00_T8;kodim;1.0;1
2025-08-09 23:00;2025-08-09 23:00_T9;pantau;1.0;1
2025-08-09 23:00;2025-08-09 23:00_T10;laksana;1.0;1
2025-11-09 07:00;2025-11-09 07:00_T1;makan gizi gratis, makan, makan gizi;1.0;3
2025-11-09 07:00;2025-11-09 07:00_T2;gizi, gizi gratis;1.0;2
2025-11-09 07:00;2025-11-09 07:00_T3;gratis;1.0;1
2025-11-09 07:00;2025-11-09 07:00_T4;program, program makan;0.4444444444444444;2
2025-11-09 07:00;2025-11-09 07:00_T5;dukung program makan, dukung program;0.4444444444444444;2
2025-08-09 12:00;2025-08-09 12:00_T1;makan, makan gizi gratis, makan gizi;1.0;3
2025-08-09 12:00;2025-08-09 12:00_T2;gizi, gizi gratis;1.0;2
2025-08-09 12:00;2025-08-09 12:00_T3;gratis;1.0;1
2025-08-09 12:00;2025-08-09 12:00_T4;mbg, mbg makan gizi;0.8;2
2025-08-09 12:00;2025-08-09 12:00_T5;transparan;0.4;1
2025-08-09 12:00;2025-08-09 12:00_T6;at;0.3;1
2025-08-09 16:00;2025-08-09 16:00_T1;mbg;1.0;1
2025-08-09 16:00;2025-08-09 16:00_T2;harga;0.75;1
2025-08-09 16:00;2025-08-09 16:00_T3;gizi, gizi gratis;0.75;2
2025-08-09 16:00;2025-08-09 16:00_T4;awas;0.75;1
2025-08-09 16:00;2025-08-09 16:00_T5;makan, makan gizi gratis, makan gizi;0.75;3
2025-08-09 16:00;2025-08-09 16:00_T6;gratis, gratis mbg;0.75;2
2025-11-09 02:00;2025-11-09 02:00_T1;laku umkm pangan;1.0;1
2025-11-09 02:00;2025-11-09 02:00_T2;ekonomi lokal daya;1.0;1
2025-11-09 02:00;2025-11-09 02:00_T3;tani ternak laku;1.0;1
2025-11-09 02:00;2025-11-09 02:00_T4;roda ekonomi lokal;1.0;1
2025-11-09 02:00;2025-11-09 02:00_T5;program makan gizi;1.0;1
2025-11-09 02:00;2025-11-09 02:00_T6;muda gerak roda;1.0;1
2025-11-09 02:00;2025-11-09 02:00_T7;gizi gratis sehat;1.0;1
2025-11-09 02:00;2025-11-09 02:00_T8;daya tani ternak;1.0;1
2025-11-09 02:00;2025-11-09 02:00_T9;generasi muda gerak;1.0;1
2025-11-09 02:00;2025-11-09 02:00_T10;lokal daya tani;1.0;1
2025-08-09 15:00;2025-08-09 15:00_T1;gratis, gratis mbg;1.0;2
2025-08-09 15:00;2025-08-09 15:00_T2;mbg;1.0;1
2025-08-09 15:00;2025-08-09 15:00_T3;makan, makan gizi gratis, makan gizi;1.0;3
2025-08-09 15:00;2025-08-09 15:00_T4;gizi, gizi gratis;1.0;2
2025-08-09 15:00;2025-08-09 15:00_T5;awas;0.7333333333333333;1
2025-08-09 15:00;2025-08-09 15:00_T6;transparan;0.5333333333333333;1
2025-11-09 16:00;2025-11-09 16:00_T1;mbg, mbg mesti;1.0;2
2025-11-09 16:00;2025-11-09 16:00_T2;mesti kayak, mesti;0.5;2
2025-11-09 16:00;2025-11-09 16:00_T3;penting mbg, penting;0.5;2
2025-11-09 16:00;2025-11-09 16:00_T4;gin wok, gin;0.5;2
2025-11-09 16:00;2025-11-09 16:00_T5;kayak;0.5;1
2025-11-09 16:00;2025-11-09 16:00_T6;wok;0.5;1
2025-11-09 18:00;2025-11-09 18:00_T1;makan, makan gizi;1.0;2
2025-11-09 18:00;2025-11-09 18:00_T2;gizi, gizi gratis, gizi makan;1.0;3
2025-11-09 18:00;2025-11-09 18:00_T3;gratis minggu;0.5;1
2025-11-09 18:00;2025-11-09 18:00_T4;j guys;0.5;1
2025-11-09 18:00;2025-11-09 18:00_T5;menu j;0.5;1
2025-11-09 18:00;2025-11-09 18:00_T6;awas mbg;0.5;1
2025-11-09 18:00;2025-11-09 18:00_T7;program makan;0.5;1
2025-11-09 19:00;2025-11-09 19:00_T1;mbg, mbg program wajar;1.0;2
2025-11-09 19:00;2025-11-09 19:00_T2;program sekolah gratis, program program;0.5;2
2025-11-09 19:00;2025-11-09 19:00_T3;gratis dua;0.5;1
2025-11-09 19:00;2025-11-09 19:00_T4;wajar batal;0.5;1
2025-11-09 19:00;2025-11-09 19:00_T5;batal program;0.5;1
2025-11-09 19:00;2025-11-09 19:00_T6;sekolah gratis;0.5;1
2025-11-09 19:00;2025-11-09 19:00_T7;belitang iii;0.5;1
2025-11-09 19:00;2025-11-09 19:00_T8;launching dapur;0.5;1
2025-08-09 14:00;2025-08-09 14:00_T1;makan, makan gizi, makan gizi gratis;1.0;3
2025-08-09 14:00;2025-08-09 14:00_T2;gratis;1.0;1
2025-08-09 14:00;2025-08-09 14:00_T3;gizi, gizi gratis;0.9615384615384616;2
2025-08-09 14:00;2025-08-09 14:00_T4;mbg;0.9615384615384616;1
2025-08-09 14:00;2025-08-09 14:00_T5;awas;0.6346153846153846;1
2025-08-09 14:00;2025-08-09 14:00_T6;harga;0.4807692307692308;1
2025-08-09 14:00;2025-08-09 14:00_T7;kpk;0.46153846153846156;1
2025-08-09 13:00;2025-08-09 13:00_T1;gizi gratis, gizi;0.9487179487179487;2
2025-08-09 13:00;2025-08-09 13:00_T2;makan gizi, makan, makan gizi gratis;0.9487179487179487;3
2025-08-09 13:00;2025-08-09 13:00_T3;gratis;0.9487179487179487;1
2025-08-09 13:00;2025-08-09 13:00_T4;mbg;0.9230769230769231;1
2025-08-09 13:00;2025-08-09 13:00_T5;awas;0.6410256410256411;1
2025-08-09 13:00;2025-08-09 13:00_T6;at;0.5128205128205128;1
2025-08-09 13:00;2025-08-09 13:00_T7;cost;0.5128205128205128;1
2025-11-09 12:00;2025-11-09 12:00_T1;mbg;0.9375;1
2025-11-09 12:00;2025-11-09 12:00_T2;makan, makan gizi;0.3125;2
2025-11-09 12:00;2025-11-09 12:00_T3;racun, racun mbg;0.25;2
2025-11-09 12:00;2025-11-09 12:00_T4;gizi, gizi gratis;0.25;2
2025-11-09 12:00;2025-11-09 12:00_T5;program;0.25;1
