time_slot,topic_core,ngrams,topic_score_st,Lt,Nt,Ns,max_dfidf
2025-09-14 11:00,mbg,mbg,0.85,1,10,20,9.685975
2025-09-14 11:00,program,program,0.76,1,4,20,4.801263
2025-09-14 11:00,guru,guru,0.745,1,3,20,4.0
2025-09-14 11:00,program mbg,program mbg,0.745,1,3,20,3.943838
2025-09-14 12:00,mbg,mbg,0.796,1,8,25,7.314404
2025-09-14 12:00,makan,makan,0.772,1,6,25,6.639113
2025-09-14 12:00,racun,racun,0.748,1,4,25,4.742224
2025-09-14 12:00,gizi,gizi,0.748,1,4,25,4.633142
2025-09-14 12:00,berita,berita,0.736,1,3,25,4.0
2025-09-14 13:00,mbg,mbg,0.7955,1,7,22,6.183667
2025-09-14 13:00,gratis,gratis,0.7545,1,4,22,4.633142
2025-09-14 13:00,makan,makan,0.7545,1,4,22,4.444686
2025-09-14 13:00,gizi,gizi,0.7545,1,4,22,4.444686
2025-09-14 13:00,program,program,0.7409,1,3,22,3.627584
2025-09-14 14:00,gizi gratis,gizi gratis,0.76,1,16,80,15.580886
2025-09-14 14:00,makan gizi gratis,makan gizi gratis,0.76,1,16,80,15.580886
2025-09-14 14:00,makan gizi,makan gizi,0.76,1,16,80,15.417231
2025-09-14 14:00,gratis,gratis,0.76,1,16,80,15.111934
2025-09-14 14:00,gizi,gizi,0.76,1,16,80,14.575617
2025-09-14 15:00,mbg,mbg,0.8297,1,16,37,12.062132
2025-09-14 15:00,gizi,gizi,0.7568,1,7,37,6.148974
2025-09-14 15:00,sumber,sumber,0.7324,1,4,37,5.0
2025-09-14 15:00,program,program,0.7405,1,5,37,4.910591
2025-09-14 15:00,gizi gratis,gizi gratis,0.7405,1,5,37,4.810951
2025-09-14 16:00,mbg,mbg,0.808,1,18,50,12.740035
2025-09-14 16:00,makan,makan,0.754,1,9,50,7.486195
2025-09-14 16:00,program,program,0.748,1,8,50,7.124529
2025-09-14 16:00,gratis,gratis,0.748,1,8,50,6.879637
2025-09-14 16:00,gizi gratis,gizi gratis,0.742,1,7,50,6.219356
2025-09-14 17:00,mbg,mbg,0.9,1,6,9,4.463711
2025-09-14 17:00,gizi,gizi,0.8,1,3,9,2.873335
2025-09-14 23:00,mbg,mbg,0.8375,1,11,24,7.408373
2025-09-14 23:00,sekolah,sekolah,0.75,1,4,24,4.582613
2025-09-14 23:00,anggota dewan,anggota dewan,0.7375,1,3,24,3.84101
2025-09-14 23:00,dewan,dewan,0.7375,1,3,24,3.84101
2025-09-14 23:00,anggota,anggota,0.7375,1,3,24,3.590847
2025-09-17 11:00,gratis,gratis,0.7618,1,7,34,5.771166
2025-09-17 11:00,makan,makan,0.7618,1,7,34,5.631797
2025-09-17 11:00,mbg,mbg,0.7706,1,8,34,5.362842
2025-09-17 11:00,makan gizi gratis,makan gizi gratis,0.7529,1,6,34,5.164574
2025-09-17 11:00,gizi gratis,gizi gratis,0.7529,1,6,34,5.140528
2025-09-17 12:00,mbg,mbg,0.8,1,8,24,5.288345
2025-09-17 12:00,racun,racun,0.75,1,4,24,3.887098
2025-09-17 12:00,makan gizi gratis,makan gizi gratis,0.75,1,4,24,3.591669
2025-09-17 12:00,gizi gratis,gizi gratis,0.75,1,4,24,3.576691
2025-09-17 12:00,makan gizi,makan gizi,0.75,1,4,24,3.576691
2025-09-17 13:00,makan,makan,0.7714,1,10,42,7.446917
2025-09-17 13:00,makan gizi gratis,makan gizi gratis,0.7571,1,8,42,6.360544
2025-09-17 13:00,gizi gratis,gizi gratis,0.7571,1,8,42,6.335771
2025-09-17 13:00,makan gizi,makan gizi,0.7571,1,8,42,6.335771
2025-09-17 13:00,gratis,gratis,0.7571,1,8,42,6.219086
2025-09-17 14:00,gratis,gratis,0.7652,1,10,46,7.399104
2025-09-17 14:00,makan gizi gratis,makan gizi gratis,0.7587,1,9,46,6.861642
2025-09-17 14:00,gizi gratis,gizi gratis,0.7587,1,9,46,6.838084
2025-09-17 14:00,makan gizi,makan gizi,0.7587,1,9,46,6.838084
2025-09-17 14:00,gizi,gizi,0.7587,1,9,46,6.585386
2025-09-17 15:00,racun,racun,0.7818,1,6,22,5.164574
